customerID,gender,senior_citizen,married,dependents,tenure_months,phone_service,internet_service,security_service,technical_support,streaming_tv,contract_type,payment_method,monthly_payment,total_paid,churn
8375-DKEBR,female,1,no,no,1,yes,fiber optic,no,no,no,month-to-month,electronic check,69.6,69.6,yes
9705-IOVQQ,male,1,yes,yes,61,yes,fiber optic,no,no,yes,one year,electronic check,99.0,5969.3,no
1015-OWJKI,male,0,no,no,1,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,19.05,19.05,no
7511-YMXVQ,male,0,no,no,9,no,dsl,no,no,yes,month-to-month,electronic check,45.4,418.8,yes
2040-XBAVJ,male,0,yes,yes,72,yes,fiber optic,yes,yes,yes,two year,bank transfer (automatic),114.45,8100.55,no
7551-JOHTI,female,0,no,no,1,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,19.5,19.5,yes
8887-IPQNC,female,0,yes,no,7,yes,dsl,no,no,no,month-to-month,mailed check,44.25,313.45,no
8646-JCOMS,female,0,yes,no,66,yes,fiber optic,no,yes,no,one year,bank transfer (automatic),90.55,6130.95,no
9804-ICWBG,male,0,no,no,1,yes,fiber optic,no,no,no,month-to-month,electronic check,69.9,69.9,yes
1222-KJNZD,male,0,yes,yes,40,yes,no,no internet service,no internet service,no internet service,month-to-month,bank transfer (automatic),20.4,745.3,no
0106-GHRQR,male,0,no,no,16,yes,dsl,no,no,no,month-to-month,bank transfer (automatic),71.4,1212.1,no
5318-IXUZF,female,0,no,no,2,yes,fiber optic,no,no,yes,month-to-month,bank transfer (automatic),87.15,183.75,yes
3768-VHXQO,male,0,yes,no,67,yes,no,no internet service,no internet service,no internet service,two year,credit card (automatic),24.85,1583.5,no
8952-WCVCD,female,0,yes,no,41,yes,fiber optic,yes,no,yes,one year,bank transfer (automatic),104.45,4162.05,no
2418-TPEUN,female,0,yes,yes,56,yes,no,no internet service,no internet service,no internet service,two year,credit card (automatic),19.8,1119.9,no
3963-RYFNS,female,0,no,no,72,yes,fiber optic,yes,yes,yes,two year,bank transfer (automatic),116.45,8013.55,no
3198-VELRD,female,0,yes,yes,3,yes,fiber optic,no,no,no,month-to-month,bank transfer (automatic),84.75,264.85,yes
8540-ZQGEA,female,0,yes,no,54,yes,no,no internet service,no internet service,no internet service,two year,credit card (automatic),20.05,1102.4,no
1320-REHCS,male,1,no,no,52,yes,fiber optic,no,yes,yes,month-to-month,electronic check,110.75,5832.0,no
4137-JOPHL,female,0,no,no,50,yes,fiber optic,no,yes,no,two year,bank transfer (automatic),89.7,4304.5,no
9436-ZBZCT,male,0,no,no,14,yes,fiber optic,no,yes,yes,month-to-month,electronic check,89.95,1178.4,yes
7801-CEDNV,male,0,yes,no,27,yes,dsl,yes,no,no,one year,credit card (automatic),48.7,1421.75,no
2057-BOYKM,female,1,yes,no,72,yes,fiber optic,yes,yes,no,two year,bank transfer (automatic),96.6,6827.5,no
3658-QQJYD,male,0,no,no,62,yes,dsl,yes,no,yes,one year,credit card (automatic),74.3,4698.05,no
1803-BGNBD,female,0,no,no,12,yes,dsl,no,yes,no,month-to-month,electronic check,54.3,654.5,no
0134-XWXCE,female,1,no,no,44,yes,dsl,no,yes,yes,one year,bank transfer (automatic),74.85,3268.05,no
6950-TWMYB,male,0,yes,yes,54,yes,fiber optic,no,yes,no,two year,bank transfer (automatic),79.95,4362.05,no
5848-FHRFC,female,0,no,no,68,yes,no,no internet service,no internet service,no internet service,two year,bank transfer (automatic),20.05,1386.9,no
2243-FNMMI,male,0,no,no,20,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,19.4,415.4,no
2511-MORQY,male,0,yes,yes,50,yes,dsl,no,no,no,one year,bank transfer (automatic),54.9,2614.1,no
5356-KZCKT,male,0,no,no,58,yes,no,no internet service,no internet service,no internet service,two year,credit card (automatic),24.45,1513.6,no
9470-XCCEM,male,0,yes,yes,35,yes,fiber optic,no,no,yes,month-to-month,bank transfer (automatic),89.65,3161.6,no
6519-CFDBX,female,0,no,no,2,yes,dsl,no,no,no,month-to-month,electronic check,45.4,80.95,no
3902-MIVLE,male,0,yes,yes,63,yes,dsl,yes,yes,no,two year,mailed check,75.7,4676.7,no
0409-WTMPL,female,0,yes,no,58,yes,fiber optic,yes,no,yes,one year,credit card (automatic),110.65,6526.65,no
8763-KIAFH,female,0,yes,yes,27,yes,no,no internet service,no internet service,no internet service,one year,mailed check,20.55,583.3,no
3669-WHAFY,female,0,yes,no,71,yes,fiber optic,yes,yes,yes,two year,credit card (automatic),115.15,8078.1,no
3055-VTCGS,female,0,no,no,63,yes,dsl,no,no,no,one year,credit card (automatic),58.55,3503.5,no
3144-KMTWZ,male,0,yes,no,71,yes,fiber optic,no,no,no,month-to-month,bank transfer (automatic),93.25,6669.45,no
7279-BUYWN,female,1,no,no,41,yes,fiber optic,yes,no,yes,month-to-month,electronic check,113.2,4689.5,yes
7156-MHUGY,male,1,no,no,13,yes,fiber optic,no,no,yes,month-to-month,electronic check,90.5,1201.15,yes
7198-GLXTC,male,0,no,no,2,yes,fiber optic,no,no,yes,month-to-month,electronic check,79.0,143.65,yes
2007-QVGAW,female,0,yes,yes,68,yes,no,no internet service,no internet service,no internet service,two year,bank transfer (automatic),19.35,1292.65,no
5207-PLSTK,male,0,yes,yes,1,yes,dsl,yes,no,no,month-to-month,mailed check,48.75,48.75,no
2307-FYNNL,male,1,no,no,65,yes,fiber optic,yes,yes,yes,two year,electronic check,109.05,7108.2,no
5605-XNWEN,male,1,yes,no,72,yes,no,no internet service,no internet service,no internet service,two year,bank transfer (automatic),25.0,1802.55,no
2155-AMQRX,female,0,no,no,28,yes,dsl,no,yes,no,month-to-month,credit card (automatic),54.9,1505.15,no
6181-AXXYF,male,0,yes,yes,72,yes,no,no internet service,no internet service,no internet service,two year,credit card (automatic),24.75,1859.1,no
5091-HFAZW,female,0,no,no,2,yes,fiber optic,yes,no,yes,month-to-month,electronic check,91.15,168.5,no
0516-VRYBW,female,0,no,yes,18,yes,no,no internet service,no internet service,no internet service,one year,bank transfer (automatic),20.15,390.85,yes
2519-LBNQL,male,1,yes,no,60,yes,fiber optic,no,no,yes,one year,electronic check,104.35,6339.45,no
8623-ULFNQ,female,1,no,no,26,yes,dsl,no,yes,no,month-to-month,electronic check,66.05,1652.4,no
8380-PEFPE,male,0,no,yes,1,yes,fiber optic,no,no,no,month-to-month,electronic check,71.65,71.65,yes
5687-DKDTV,female,0,no,no,4,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,20.35,77.5,yes
1568-LJSZU,male,0,yes,yes,68,yes,dsl,yes,yes,yes,two year,credit card (automatic),92.2,6392.85,no
7530-HDYDS,female,0,no,no,38,yes,fiber optic,no,yes,no,month-to-month,credit card (automatic),84.25,3264.5,yes
7789-HKSBS,female,1,yes,no,42,yes,fiber optic,yes,no,yes,one year,bank transfer (automatic),105.2,4599.15,no
7416-CKTEP,female,0,yes,no,57,yes,no,no internet service,no internet service,no internet service,two year,bank transfer (automatic),19.6,1134.25,no
2586-CWXVV,male,0,yes,no,54,no,dsl,no,no,no,month-to-month,electronic check,30.4,1621.35,no
3096-IZETN,female,0,no,no,12,yes,fiber optic,no,no,no,month-to-month,bank transfer (automatic),78.1,947.3,yes
2348-KCJLT,female,0,yes,no,44,yes,dsl,yes,no,no,one year,mailed check,61.5,2722.2,no
8401-EMUWF,male,0,yes,yes,42,yes,dsl,yes,no,yes,month-to-month,bank transfer (automatic),69.4,3058.3,no
4193-IBKSW,male,0,yes,yes,72,yes,no,no internet service,no internet service,no internet service,two year,bank transfer (automatic),24.75,1769.6,no
5377-NDTOU,female,0,yes,yes,71,yes,dsl,yes,yes,yes,two year,mailed check,91.05,6293.75,no
5922-ABDVO,female,0,yes,no,19,yes,fiber optic,no,no,no,month-to-month,mailed check,89.65,1761.05,yes
2474-LCNUE,female,0,yes,no,23,yes,dsl,no,yes,yes,month-to-month,credit card (automatic),73.65,1642.75,no
0839-QNXME,female,0,no,no,30,yes,no,no internet service,no internet service,no internet service,two year,credit card (automatic),19.4,578.5,no
3506-OVLKD,male,0,no,no,35,yes,no,no internet service,no internet service,no internet service,one year,bank transfer (automatic),26.2,954.9,no
9172-ANCRX,female,0,no,no,10,yes,fiber optic,yes,no,yes,month-to-month,electronic check,98.7,973.25,yes
6650-VJONK,male,0,no,no,1,yes,dsl,no,no,no,month-to-month,bank transfer (automatic),43.85,43.85,no
2178-PMGCJ,male,0,no,no,22,yes,fiber optic,no,no,no,month-to-month,mailed check,69.7,1490.4,no
7492-TAFJD,male,0,yes,yes,7,no,dsl,yes,no,no,two year,mailed check,38.55,280.0,no
2773-MADBQ,female,0,no,no,36,no,dsl,yes,yes,no,two year,mailed check,53.1,1901.25,no
6016-LVTJQ,female,0,yes,yes,34,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,20.65,716.4,no
7860-KSUGX,male,0,yes,yes,72,yes,dsl,yes,no,no,two year,credit card (automatic),64.45,4720.0,no
8966-KZXXA,male,0,yes,yes,36,yes,no,no internet service,no internet service,no internet service,two year,credit card (automatic),25.1,930.95,no
6910-HADCM,female,0,no,no,1,yes,fiber optic,no,no,no,month-to-month,electronic check,76.35,76.35,yes
4816-LXZYW,female,0,no,no,23,yes,fiber optic,no,no,no,month-to-month,electronic check,79.15,1676.95,yes
9606-PBKBQ,male,1,yes,no,32,yes,fiber optic,no,no,no,month-to-month,electronic check,85.0,2642.05,yes
5149-QYTTU,female,0,yes,yes,71,yes,fiber optic,yes,yes,no,one year,credit card (automatic),95.15,6770.85,no
2070-XYMFH,female,1,no,no,23,yes,fiber optic,no,no,no,month-to-month,mailed check,79.35,1835.3,no
2085-BOJKI,male,0,yes,no,17,yes,fiber optic,no,no,yes,one year,bank transfer (automatic),96.65,1588.25,no
0817-HSUSE,male,0,no,no,1,yes,dsl,no,yes,yes,month-to-month,electronic check,75.5,75.5,no
5442-PPTJY,male,0,yes,yes,12,yes,no,no internet service,no internet service,no internet service,two year,mailed check,19.7,258.35,no
1927-QEWMY,female,0,yes,no,72,yes,no,no internet service,no internet service,no internet service,two year,credit card (automatic),20.5,1502.25,no
1663-MHLHE,male,0,no,no,1,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,19.2,19.2,no
5663-QBGIS,male,1,yes,no,72,yes,fiber optic,no,no,yes,two year,bank transfer (automatic),98.35,6929.4,no
4450-MDZFX,male,0,yes,yes,60,yes,fiber optic,no,no,no,month-to-month,bank transfer (automatic),74.35,4453.3,no
6701-DHKWQ,female,0,yes,yes,61,no,dsl,no,yes,yes,two year,credit card (automatic),51.35,3244.4,no
7554-AKDQF,female,0,yes,no,6,yes,dsl,no,no,no,month-to-month,mailed check,45.65,323.45,no
3536-IQCTX,male,1,yes,no,32,yes,fiber optic,no,no,no,month-to-month,electronic check,85.3,2661.1,yes
4911-BANWH,female,0,no,yes,31,yes,fiber optic,no,no,yes,month-to-month,credit card (automatic),86.55,2697.4,yes
8496-EJAUI,male,0,no,no,19,yes,fiber optic,no,no,no,month-to-month,credit card (automatic),73.85,1424.5,yes
0794-YVSGE,male,0,yes,yes,72,yes,no,no internet service,no internet service,no internet service,two year,bank transfer (automatic),20.3,1401.15,no
5423-BHIXO,female,0,no,no,32,yes,dsl,no,no,no,month-to-month,electronic check,54.2,1739.6,no
6908-VVYHM,male,0,yes,no,65,yes,fiber optic,no,no,no,month-to-month,electronic check,90.65,5931.0,no
2959-EEXWB,female,0,yes,yes,45,no,dsl,yes,no,yes,month-to-month,bank transfer (automatic),50.9,2333.85,no
1839-UMACK,male,0,no,no,42,yes,no,no internet service,no internet service,no internet service,one year,electronic check,25.05,949.85,no
3030-YDNRM,male,0,no,no,8,yes,fiber optic,no,no,no,month-to-month,electronic check,74.85,572.45,no
7321-KKSDU,male,0,no,yes,32,yes,no,no internet service,no internet service,no internet service,two year,mailed check,20.5,696.8,no
3402-XRIUO,female,1,yes,no,22,yes,dsl,yes,yes,no,month-to-month,mailed check,63.55,1381.8,no
3132-TVFDZ,male,1,yes,no,57,no,dsl,no,no,yes,month-to-month,electronic check,44.85,2572.95,yes
8286-AFUYI,male,0,no,no,1,yes,dsl,yes,no,no,month-to-month,electronic check,47.95,47.95,no
8080-DDEMJ,male,1,no,no,1,yes,dsl,no,no,no,month-to-month,electronic check,45.1,45.1,yes
8356-WUAOJ,female,0,yes,no,1,yes,dsl,no,no,no,month-to-month,electronic check,45.0,45.0,no
6365-MTGZX,male,0,no,no,24,yes,fiber optic,no,yes,yes,month-to-month,electronic check,96.0,2122.45,yes
1349-WXNGG,male,0,no,no,1,yes,no,no internet service,no internet service,no internet service,month-to-month,bank transfer (automatic),20.05,20.05,yes
8058-DMYRU,male,1,no,no,54,yes,fiber optic,no,no,no,month-to-month,electronic check,90.05,4931.8,no
9350-ZXYJC,female,0,no,no,4,yes,no,no internet service,no internet service,no internet service,two year,credit card (automatic),25.3,116.95,no
6990-YNRIO,male,0,yes,yes,65,yes,fiber optic,yes,yes,yes,two year,bank transfer (automatic),108.65,6937.95,yes
8958-JPTRR,female,0,yes,no,56,yes,no,no internet service,no internet service,no internet service,one year,electronic check,24.3,1261.7,no
6959-GQEGV,male,0,no,no,45,yes,dsl,yes,no,yes,month-to-month,electronic check,75.95,3273.8,no
3173-WSSUE,female,0,yes,yes,71,yes,no,no internet service,no internet service,no internet service,two year,credit card (automatic),19.7,1415.85,no
1265-HVPZB,male,0,yes,no,59,yes,dsl,yes,no,yes,one year,credit card (automatic),66.4,3958.2,no
4115-UMJFQ,male,0,no,no,69,no,dsl,no,no,no,one year,bank transfer (automatic),35.75,2492.25,no
7369-TRPFD,male,0,no,no,19,yes,no,no internet service,no internet service,no internet service,one year,mailed check,18.8,279.2,no
1098-KFQEC,female,0,yes,yes,55,yes,no,no internet service,no internet service,no internet service,two year,credit card (automatic),19.4,1083.0,no
7190-XHTWJ,female,0,no,no,38,yes,no,no internet service,no internet service,no internet service,one year,mailed check,19.3,755.5,no
0621-TWIEM,male,0,no,no,10,yes,dsl,no,no,no,month-to-month,electronic check,45.55,402.6,yes
3537-RYBHH,female,1,yes,no,47,yes,dsl,yes,no,no,month-to-month,credit card (automatic),67.45,3252.0,no
2485-ITVKB,female,0,yes,no,2,no,dsl,no,no,no,month-to-month,electronic check,35.1,68.75,yes
3669-OYSJI,male,0,no,no,1,yes,dsl,no,no,no,month-to-month,credit card (automatic),46.2,46.2,yes
1612-EOHDH,female,0,no,no,1,yes,dsl,no,no,no,month-to-month,electronic check,45.15,45.15,yes
6702-OHFWR,male,1,no,no,1,no,dsl,no,no,no,month-to-month,electronic check,43.3,43.3,yes
5296-BFCYD,male,0,yes,yes,46,yes,no,no internet service,no internet service,no internet service,two year,mailed check,20.1,936.85,no
4510-PYUSH,female,1,no,no,38,yes,dsl,yes,no,no,month-to-month,credit card (automatic),57.15,2250.65,yes
9359-JANWS,female,0,yes,no,65,yes,dsl,yes,yes,no,two year,credit card (automatic),58.9,3857.1,no
7517-SAWMO,female,0,yes,no,19,yes,fiber optic,yes,no,no,month-to-month,electronic check,73.2,1441.1,yes
4143-HHPMK,male,0,no,no,52,yes,fiber optic,no,no,no,month-to-month,electronic check,85.35,4338.6,yes
3279-DYZQM,male,0,yes,yes,71,yes,no,no internet service,no internet service,no internet service,two year,mailed check,19.45,1378.45,no
7054-LGEQW,female,0,no,no,1,yes,dsl,no,no,no,month-to-month,mailed check,45.95,45.95,yes
0523-VNGTF,female,1,no,no,52,no,dsl,no,yes,yes,month-to-month,electronic check,50.5,2566.3,no
9575-IWCAZ,male,0,yes,no,6,yes,no,no internet service,no internet service,no internet service,one year,mailed check,25.1,171.0,no
7105-MXJLL,female,1,yes,no,26,yes,dsl,no,no,no,one year,mailed check,60.7,1597.4,no
7064-FRRSW,male,1,no,no,48,yes,fiber optic,no,no,yes,one year,electronic check,99.0,4744.35,no
7940-UQQUG,female,0,yes,yes,64,yes,fiber optic,yes,yes,yes,one year,bank transfer (automatic),104.4,6721.6,no
0923-PNFUB,female,0,no,no,3,yes,fiber optic,no,no,yes,month-to-month,electronic check,83.75,247.25,yes
3961-SXAXY,male,0,no,no,1,yes,dsl,no,no,no,month-to-month,bank transfer (automatic),44.05,44.05,no
7010-BRBUU,male,0,yes,yes,72,yes,no,no internet service,no internet service,no internet service,two year,credit card (automatic),24.1,1734.65,no
3566-HJGPK,male,0,no,no,1,yes,dsl,no,no,no,month-to-month,mailed check,45.55,45.55,no
3062-ICYZQ,female,0,yes,yes,51,yes,fiber optic,yes,no,no,month-to-month,electronic check,93.8,4539.35,no
9938-PRCVK,female,0,yes,yes,41,yes,no,no internet service,no internet service,no internet service,two year,bank transfer (automatic),19.7,804.25,no
0973-KYVNF,female,0,yes,yes,72,yes,dsl,yes,no,yes,two year,credit card (automatic),70.65,5011.15,no
5129-HHMZC,female,0,yes,no,43,yes,dsl,yes,yes,yes,two year,credit card (automatic),86.45,3574.5,no
9637-CDTKZ,male,0,yes,no,72,yes,fiber optic,yes,yes,yes,two year,credit card (automatic),114.1,8086.4,no
3946-JEWRQ,male,0,yes,no,47,yes,fiber optic,no,no,yes,one year,credit card (automatic),95.2,4563.0,no
7873-CVMAW,male,0,no,no,72,yes,dsl,yes,yes,yes,two year,credit card (automatic),88.55,6362.35,no
0463-WZZKO,male,0,no,no,3,yes,no,no internet service,no internet service,no internet service,month-to-month,credit card (automatic),20.75,67.1,no
3494-JCHRQ,male,0,no,no,1,yes,fiber optic,no,no,no,month-to-month,electronic check,70.05,70.05,yes
6474-FVJLC,male,0,no,no,2,yes,fiber optic,no,no,no,month-to-month,electronic check,86.0,165.45,yes
4524-QCSSM,male,0,no,no,26,no,dsl,yes,no,no,month-to-month,bank transfer (automatic),44.65,1156.55,no
5832-EXGTT,male,0,yes,yes,29,yes,dsl,yes,no,no,month-to-month,mailed check,60.2,1834.15,no
8840-DQLGN,female,1,yes,no,35,yes,fiber optic,yes,yes,yes,month-to-month,bank transfer (automatic),100.5,3653.35,yes
2039-JONDJ,male,0,no,no,27,yes,dsl,yes,no,no,one year,bank transfer (automatic),55.45,1477.65,no
7217-JYHOQ,male,0,yes,yes,24,yes,dsl,yes,yes,no,month-to-month,credit card (automatic),70.3,1706.45,no
6695-FRVEC,male,0,yes,yes,67,yes,dsl,yes,yes,no,two year,bank transfer (automatic),60.4,3953.7,no
4547-LYTDD,female,0,no,no,16,yes,fiber optic,no,no,no,month-to-month,electronic check,72.65,1194.3,yes
9894-QMIMJ,female,0,no,no,23,yes,dsl,no,no,no,one year,bank transfer (automatic),55.8,1327.85,no
8069-YQQAJ,male,0,no,no,14,no,dsl,no,no,no,month-to-month,mailed check,31.1,419.7,no
6770-XUAGN,female,0,yes,yes,1,yes,no,no internet service,no internet service,no internet service,month-to-month,electronic check,21.0,21.0,yes
4193-ORFCL,female,1,no,no,1,yes,dsl,no,no,no,month-to-month,mailed check,45.1,45.1,yes
1636-NTNCO,male,1,no,no,4,no,dsl,no,no,yes,month-to-month,credit card (automatic),50.95,207.35,no
3466-WAESX,male,0,no,yes,16,yes,dsl,yes,no,no,month-to-month,electronic check,69.1,1083.7,no
9281-PKKZE,female,0,yes,no,46,no,dsl,no,no,yes,month-to-month,electronic check,43.95,2007.85,no
3638-VBZTA,male,0,no,yes,68,yes,dsl,yes,yes,yes,two year,bank transfer (automatic),86.5,5882.75,no
7459-IMVYU,male,0,no,no,38,yes,dsl,yes,yes,no,month-to-month,electronic check,69.95,2657.55,no
7776-QWNFX,male,1,yes,no,30,yes,dsl,no,no,no,month-to-month,bank transfer (automatic),50.4,1527.5,yes
6689-TCZHQ,female,1,no,no,5,yes,fiber optic,no,no,no,month-to-month,electronic check,78.95,378.4,yes
8563-OYMQY,male,0,no,no,17,yes,fiber optic,no,no,no,month-to-month,credit card (automatic),90.95,1612.2,no
0754-EEBDC,male,0,yes,yes,4,yes,no,no internet service,no internet service,no internet service,two year,mailed check,19.9,76.65,no
5777-ZPQNC,female,0,no,no,12,yes,no,no internet service,no internet service,no internet service,one year,electronic check,20.15,260.7,no
1951-IEYXM,male,0,yes,yes,72,yes,dsl,yes,yes,yes,two year,credit card (automatic),90.6,6441.85,no
3318-NMQXL,male,0,no,no,3,yes,fiber optic,no,no,yes,month-to-month,electronic check,92.0,266.8,no
3143-ILDAL,male,0,no,no,56,yes,fiber optic,no,yes,no,month-to-month,electronic check,94.45,5124.6,yes
1022-RKXDR,female,0,no,no,41,yes,no,no internet service,no internet service,no internet service,one year,mailed check,24.85,962.25,no
2361-FJWNO,male,0,no,no,40,no,dsl,no,yes,no,one year,credit card (automatic),36.0,1382.9,no
2272-UOINI,female,0,no,no,7,yes,dsl,yes,yes,yes,month-to-month,electronic check,78.5,571.05,no
8232-UTFOZ,male,0,no,no,69,yes,no,no internet service,no internet service,no internet service,two year,credit card (automatic),19.95,1399.35,no
3750-YHRYO,male,0,yes,yes,7,yes,no,no internet service,no internet service,no internet service,one year,mailed check,20.65,150.0,no
6637-KYRCV,female,0,yes,yes,5,no,dsl,no,no,no,month-to-month,electronic check,30.5,167.2,no
5668-MEISB,female,0,yes,yes,72,yes,fiber optic,yes,yes,yes,two year,credit card (automatic),106.1,7657.4,no
0129-QMPDR,male,0,yes,yes,44,yes,no,no internet service,no internet service,no internet service,one year,bank transfer (automatic),20.5,865.05,no
7188-CBBBA,female,0,no,no,65,yes,fiber optic,no,no,yes,one year,electronic check,95.5,6153.85,no
5356-CSVSQ,female,0,no,no,3,yes,dsl,no,yes,yes,month-to-month,electronic check,64.6,174.2,no
3221-CJMSG,male,0,no,no,24,yes,dsl,no,yes,no,month-to-month,credit card (automatic),51.1,1269.6,no
4720-VSTSI,female,0,no,no,44,yes,fiber optic,no,no,no,month-to-month,bank transfer (automatic),84.8,3862.55,yes
3219-JQRSL,female,1,yes,no,72,yes,dsl,yes,yes,yes,two year,credit card (automatic),89.1,6352.4,no
2801-NISEI,male,0,no,no,24,yes,dsl,yes,yes,no,month-to-month,electronic check,54.95,1348.5,no
3946-MHCZW,male,0,no,no,1,yes,dsl,no,no,no,month-to-month,mailed check,50.9,50.9,yes
4623-ZKHLY,male,0,yes,no,22,yes,no,no internet service,no internet service,no internet service,month-to-month,bank transfer (automatic),20.45,471.55,no
6732-VAILE,male,0,yes,yes,70,yes,dsl,no,yes,yes,two year,credit card (automatic),85.95,5931.75,no
8201-AAXCB,male,0,yes,yes,25,yes,dsl,no,no,yes,month-to-month,electronic check,60.35,1404.65,no
7696-CFTAT,male,0,yes,yes,37,yes,no,no internet service,no internet service,no internet service,two year,bank transfer (automatic),19.8,726.1,no
1845-CSBRZ,female,1,yes,yes,22,yes,fiber optic,no,no,yes,month-to-month,bank transfer (automatic),85.35,1961.6,no
2123-VSCOT,female,0,yes,yes,59,yes,dsl,no,yes,yes,two year,bank transfer (automatic),72.1,4194.85,no
6651-AZVTJ,male,0,yes,yes,49,yes,fiber optic,no,no,yes,month-to-month,electronic check,99.8,4872.45,yes
4566-GOLUK,male,0,yes,yes,47,yes,fiber optic,no,yes,yes,month-to-month,bank transfer (automatic),107.35,5118.95,yes
2484-DGXPZ,female,0,yes,yes,31,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,19.55,658.95,yes
2018-QKYGT,male,0,yes,yes,1,yes,fiber optic,no,no,no,month-to-month,electronic check,81.05,81.05,no
2792-VPPET,male,0,no,no,3,yes,no,no internet service,no internet service,no internet service,month-to-month,electronic check,20.5,76.95,no
7409-JURKQ,female,0,yes,no,53,yes,fiber optic,no,yes,yes,one year,bank transfer (automatic),111.8,5809.75,no
3247-MHJKM,male,0,no,no,1,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,20.2,20.2,no
1964-SVLEA,male,0,no,no,20,yes,no,no internet service,no internet service,no internet service,one year,mailed check,19.7,415.9,no
4587-NUKOX,female,0,no,no,3,yes,fiber optic,yes,no,no,month-to-month,electronic check,79.1,246.5,yes
7297-DVYGA,female,0,no,no,51,yes,no,no internet service,no internet service,no internet service,one year,bank transfer (automatic),19.85,996.95,no
2239-CGBUZ,female,0,yes,no,51,yes,dsl,yes,yes,no,one year,bank transfer (automatic),60.5,3145.15,no
0854-UYHZD,female,0,yes,yes,13,yes,no,no internet service,no internet service,no internet service,two year,mailed check,19.55,265.3,no
7243-LCGGZ,female,0,no,no,1,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,20.9,20.9,no
8267-KFGYD,male,0,no,yes,1,yes,no,no internet service,no internet service,no internet service,month-to-month,mailed check,21.05,21.05,no
4890-VMUAV,male,0,no,no,63,yes,dsl,yes,yes,no,one year,electronic check,71.5,4576.3,no
9261-WDCAF,male,0,no,no,3,yes,dsl,no,no,no,month-to-month,mailed check,54.65,189.1,no
3764-MNMOI,male,0,no,no,46,yes,no,no internet service,no internet service,no internet service,two year,credit card (automatic),19.2,908.15,no
7442-YGZFK,male,0,no,no,1,yes,dsl,no,no,no,month-to-month,credit card (automatic),49.8,49.8,no
0420-BWTPW,male,0,no,yes,8,no,dsl,no,no,no,month-to-month,mailed check,25.5,215.2,yes
8229-BUJHX,female,0,yes,yes,71,yes,no,no internet service,no internet service,no internet service,two year,bank transfer (automatic),20.5,1500.95,no
7449-HVPIV,male,0,yes,yes,55,yes,fiber optic,no,no,yes,month-to-month,credit card (automatic),90.4,5099.15,no
5504-WSIUR,female,0,no,no,70,yes,fiber optic,no,yes,no,one year,bank transfer (automatic),90.25,6385.95,no
8183-ONMXC,female,0,no,no,2,yes,fiber optic,no,no,no,month-to-month,electronic check,80.75,159.45,yes
8466-PZBLH,male,0,yes,yes,67,yes,fiber optic,yes,yes,yes,two year,bank transfer (automatic),104.6,6885.75,no
9614-RMGHA,male,0,yes,no,65,yes,fiber optic,no,no,yes,month-to-month,bank transfer (automatic),91.85,5940.85,yes
8735-IJJEG,male,0,yes,no,14,yes,dsl,no,no,no,month-to-month,credit card (automatic),50.2,668.85,no
0564-MUUQK,female,0,yes,yes,20,yes,fiber optic,no,yes,no,month-to-month,bank transfer (automatic),95.5,1916.2,no
5054-IEXZT,male,0,no,yes,1,yes,fiber optic,no,no,no,month-to-month,electronic check,75.35,75.35,yes
5834-ASPWA,male,0,no,no,1,yes,fiber optic,no,no,no,month-to-month,electronic check,75.45,75.45,yes
0701-RFGFI,female,0,yes,yes,49,yes,fiber optic,no,no,yes,month-to-month,bank transfer (automatic),95.4,4613.95,no
0019-EFAEP,female,0,no,no,72,yes,fiber optic,yes,no,yes,two year,bank transfer (automatic),101.3,7261.25,no
5619-PTMIK,female,0,yes,no,46,yes,dsl,yes,no,no,month-to-month,electronic check,53.1,2459.8,no
3737-XBQDD,male,0,no,no,24,yes,fiber optic,no,no,no,month-to-month,bank transfer (automatic),84.85,2048.8,no
5882-CMAZQ,female,0,yes,yes,5,no,dsl,no,yes,no,month-to-month,electronic check,34.25,163.55,no
5846-QFDFI,female,0,yes,yes,33,yes,fiber optic,no,yes,no,month-to-month,credit card (automatic),88.6,2888.7,no
4445-KWOKW,female,0,no,no,42,yes,dsl,yes,no,no,one year,bank transfer (automatic),60.15,2421.6,no
3511-APPBJ,male,0,no,no,23,yes,fiber optic,yes,no,yes,one year,credit card (automatic),99.95,2292.75,no
7967-HYCDE,male,0,no,no,8,yes,fiber optic,no,no,no,month-to-month,bank transfer (automatic),70.7,553.4,no
2430-RRYUW,male,0,no,no,66,yes,dsl,yes,no,no,one year,mailed check,54.8,3465.7,no
3948-XHGNA,male,0,no,no,24,yes,dsl,yes,no,no,month-to-month,bank transfer (automatic),49.55,1210.4,yes
3723-BFBGR,male,1,no,no,24,yes,dsl,no,no,no,month-to-month,credit card (automatic),54.8,1291.3,no
0565-IYCGT,male,0,no,no,69,yes,dsl,yes,yes,no,one year,credit card (automatic),78.6,5356.45,yes
